Tm,Yr,Total_AV,Expected_AV,Picks,AV_Above_Expected
LAC,2017,130.0,103.01532297531,7,26.98467702469
LAC,2018,100.0,83.45807941836824,6,16.541920581631757
LAC,2019,76.0,81.4992688608405,7,-5.499268860840502
LAC,2020,110.0,94.00287314706452,6,15.99712685293548
LAC,2021,80.0,112.5265030841402,9,-32.5265030841402
LAC,2022,59.0,81.04759641298456,8,-22.04759641298456
LAC,2023,43.0,81.97042339491458,6,-38.970423394914576
LAR,2016,80.0,94.60616783060956,6,-14.606167830609564
LAR,2017,121.0,80.51115027450409,7,40.48884972549591
LAR,2018,67.0,86.44409646168549,11,-19.44409646168549
LAR,2019,88.0,80.44426809039823,7,7.555731909601775
LAR,2020,49.0,84.93907745408698,8,-35.939077454086984
LAR,2021,50.0,79.62652805544353,9,-29.62652805544353
LAR,2022,50.0,48.11061117102524,7,1.8893888289747593
LAR,2023,74.0,111.8687832424169,13,-37.868783242416896
LVR,2020,34.0,92.55311285508157,5,-58.553112855081565
LVR,2021,69.0,92.73556034923483,6,-23.73556034923483
LVR,2022,33.0,49.95399434371895,6,-16.953994343718954
LVR,2023,36.0,124.56222205664388,9,-88.56222205664388
MIA,2000,45.0,58.69652164166252,5,-13.696521641662521
MIA,2001,76.0,69.04036371664567,4,6.959636283354328
MIA,2002,41.0,36.31010569732362,4,4.689894302676379
MIA,2003,46.0,67.29305684682265,6,-21.29305684682265
MIA,2004,78.0,59.564452164846045,5,18.435547835153955
MIA,2005,92.0,100.8720221904612,5,-8.872022190461195
MIA,2006,18.0,47.36463340558291,3,-29.364633405582907
MIA,2007,97.0,114.63231150150995,8,-17.632311501509946
MIA,2008,100.0,124.64492825881905,7,-24.64492825881905
MIA,2009,82.0,93.39605892436211,7,-11.396058924362109
MIA,2010,127.0,79.69772562912212,6,47.30227437087788
MIA,2011,73.0,57.40958009332198,4,15.590419906678022
MIA,2012,108.0,115.20062397023239,8,-7.200623970232385
MIA,2013,45.0,123.62126228681115,8,-78.62126228681115
MIA,2014,71.0,87.99388033955441,7,-16.99388033955441
MIA,2015,81.0,84.56625231320389,6,-3.56625231320389
MIA,2016,99.0,97.04705094981085,7,1.9529490501891473
MIA,2017,37.0,81.77921751252642,7,-44.779217512526415
MIA,2018,93.0,97.43487074927975,7,-4.434870749279753
MIA,2019,81.0,68.79041628881109,6,12.209583711188913
MIA,2020,139.0,172.71273913511368,10,-33.71273913511368
MIA,2021,94.0,110.14974237338981,5,-16.149742373389813
MIA,2022,7.0,31.763882255777375,4,-24.763882255777375
